AOD,PM2.5
0.168279999,16.66666667
0.650280029,157
0.141600006,8
0.192240005,26.66666667
0.975400024,189.6666667
0.964919983,159.3333333
0.121040001,13
0.30723999,97.33333333
0.364119995,27.66666667
0.184160004,10.33333333
0.204240005,19.66666667
0.212119995,37
0.79652002,65.66666667
0.333,19.66666667
0.745200012,158
0.158800003,12.66666667
0.307200012,50.33333333
0.185720001,7.333333333
0.345119995,30
1.813560059,298.3333333
0.715799988,99.2
0.845960022,124.2
0.241080002,18.1
0.136440002,15.23333333
0.830799988,60.76666667
0.963200012,76.8
0.155360001,12.53333333
0.981640015,101.1666667
0.129279999,22.96666667
0.872559998,115.2666667
0.119440002,7
0.614840027,156.6666667
0.138279999,3
0.188199997,23
0.947960022,158.6666667
1.523160034,102.6666667
0.248199997,15.33333333
0.111120003,11.66666667
0.260559998,91
0.412440002,40
0.183360001,11.66666667
0.157399994,21.66666667
0.180839996,29
1.244833374,120.6666667
1.199,233.3333333
0.723280029,98
0.287640015,18.33333333
0.175520004,17
0.708719971,142.6666667
0.171,10.33333333
0.271160004,35
0.168600006,11.66666667
0.285279999,51
1.466782593,269
0.619695679,96.96666667
0.842880005,132.5
0.213960007,22.36666667
0.267799988,41.9
0.089519997,17.9
0.814840027,70.2
1.242199951,152.7666667
0.103400002,15.76666667
0.917880005,105.5333333
0.124571426,64.3
0.113166664,26.46666667
0.822049988,103.5
0.169440002,7
0.643200012,148
0.152360001,3
0.191080002,22
0.166333328,3.333333333
1.066040039,179.3333333
0.934039978,136
0.280519989,18.33333333
0.129800003,15.33333333
0.319359985,101.3333333
0.35523999,40.33333333
0.191800003,12
0.182958328,24
0.216600006,49
0.342200012,22
0.16775,22
0.704799988,153.6666667
0.175199997,15.66666667
0.319920013,46
0.190919998,4.333333333
0.384720001,30.33333333
1.799800049,257
0.721400024,101.8666667
0.851960022,130.0333333
0.248279999,25.56666667
0.299720001,25.33333333
0.148360001,14.8
0.168800003,10.5
0.1208125,22.83333333
0.865440002,113.9666667
0.178880005,24
0.66347998,149.6666667
0.256640015,22.33333333
0.705719971,97
1.334920044,48
0.237600006,5.333333333
0.1605,6.666666667
0.290079987,89.33333333
1.22304541,69.66666667
0.618960022,67
0.185800003,4.666666667
0.167240005,16
1.542119995,130.6666667
0.772359985,64
0.32725,3.333333333
0.517159973,125
0.184919998,11.66666667
0.507600006,59.66666667
0.974944458,189
1.525359985,262
0.213080002,16.76666667
0.081360001,19.86666667
0.093973335,16.86666667
0.756799988,117.4333333
1.06423999,139.8
0.074279999,8.2
0.90523999,109.6666667
0.068666664,41.96666667
0.147240005,7
0.587320007,154.6666667
0.154720001,3
0.190039993,27.33333333
0.175600006,7
0.871919983,137
1.466280029,93
0.262359985,15.33333333
0.132039993,14
0.302920013,99
0.526359985,32.66666667
0.190520004,10.66666667
0.196360001,24.33333333
0.194559998,41
1.0735,127.3333333
1.419119995,251
0.693919983,80.66666667
0.32876001,20.66666667
0.167679993,19.33333333
0.169919998,11.33333333
0.293880005,37.33333333
0.175119995,12
1.742560059,288.6666667
0.692119995,107.7
0.900799988,127.7666667
0.243479996,18.8
0.267200012,18.5
0.096519997,18.63333333
0.63352002,60.3
0.92123999,78.96666667
0.120559998,14.46666667
0.961080017,106.3666667
0.111199997,40.2
0.808642883,107.6333333
0.10468,43.33333333
0.630058838,164
0.128882355,21.33333333
0.601799988,91.66666667
0.186039993,18
0.088360001,12.33333333
0.211279999,66.66666667
0.336359985,62
0.113800003,5.333333333
0.150479996,20.33333333
0.101440002,13
0.11168,12
0.168039993,51.33333333
0.104400002,8.333333333
0.401839996,63.66666667
0.74152002,130
0.165039993,21.23333333
0.062662224,12.2
0.64447998,51.06666667
0.05848,11.63333333
0.071120003,37.56666667
0.121239998,11.33333333
0.659080017,163
0.108120003,3.666666667
0.156759995,24.66666667
0.900636353,195.3333333
0.101400002,20.33333333
0.250600006,91.33333333
0.32323999,32.33333333
0.164039993,7.666666667
0.158160004,26.33333333
0.168600006,32.66666667
0.773333313,111.3333333
0.732,97.66666667
0.277720001,22
0.146199997,19
0.669679993,148.3333333
0.151919998,14
0.206800003,42.66666667
0.148119995,9
0.257399994,32.66666667
0.797799988,130.1333333
0.196559998,32.23333333
0.217080002,43.23333333
0.091639999,17.4
0.84147998,72.8
0.49125,135.4666667
0.105720001,27.16666667
0.846200012,107.3333333
0.857400024,109.3666667
0.134399994,7
0.618280029,157.6666667
0.128360001,4.333333333
0.176839996,23.66666667
0.943599976,181
0.942960022,145
1.506319946,88
0.263920013,17.33333333
0.097760002,16.33333333
0.281720001,86.33333333
0.421279999,46
0.180199997,13.33333333
0.169479996,20
0.190639999,33
0.835428589,123
1.399599976,205
0.756400024,95
0.306320007,25
0.132360001,14.66666667
0.748119995,143.6666667
0.147559998,15
0.269279999,34.66666667
0.322640015,45.33333333
1.756439941,215.3333333
0.844599976,154.1
0.224160004,22.5
0.268679993,25.6
0.093239998,18.83333333
0.733545471,62.8
0.900080017,72.33333333
1.21282605,165.0666667
0.114279999,28.1
0.945440002,101.2666667
0.093,20.7
0.097160004,33.13333333
0.862080017,107.9
0.147520004,14.66666667
0.599559998,126.6666667
0.141720001,7
0.178479996,20
0.172240005,11.66666667
0.973150024,167.6666667
0.906799988,145
1.479839966,78
0.263200012,15.33333333
0.104120003,17
0.299559998,95.33333333
0.480839996,44.33333333
0.186880005,8.333333333
0.181160004,17.33333333
0.195360001,52
0.567333313,129.3333333
1.414920044,244.3333333
0.70323999,81.66666667
0.320720001,19.33333333
0.147880005,20
0.628944458,155
0.157160004,7.666666667
0.289320007,34.66666667
0.172880005,6.333333333
0.36676001,34.33333333
0.686440002,96.43333333
0.236720001,17.6
0.269959991,37.76666667
0.094279999,22.6
0.689559998,49.8
0.925559998,75.93333333
0.745,166.7333333
0.120559998,22.06666667
0.954400024,110.6333333
0.094720001,14.96666667
0.760869568,110.5
0.076,8.333333333
0.07036364,10
0.161639999,92.66666667
0.287600006,45
0.08668,10.66666667
0.096454544,10.66666667
0.115080002,14.66666667
0.177083328,24.33333333
0.123480003,8.666666667
0.197399994,30.33333333
0.103199997,7.333333333
0.271640015,97.66666667
0.147639999,19.06666667
0.064519997,10
0.079422226,8.3
0.589349976,40.76666667
0.060560001,10.76666667
0.067440002,20.13333333
0.121,13.66666667
0.40075,167
0.127083336,26.66666667
0.615,126.6666667
0.147388885,17
0.210720001,101
0.146960007,11.66666667
0.232080002,12.66666667
0.176240005,17.33333333
1.156160034,127.6666667
0.252440002,18.33333333
0.175119995,11.33333333
0.154199997,9
0.337600006,169.3333333
0.819571411,200.3333333
0.165,25.33333333
0.240960007,25.63333333
0.106,15.46666667
0.140622223,14.63333333
0.085559998,14.2
0.139039993,4
0.600400024,155.3333333
0.154880005,5
0.191479996,26
0.177679993,6
0.892320007,143.3333333
1.498160034,82.33333333
0.253039993,15.66666667
0.102519997,13.66666667
0.28,93.66666667
0.507359985,39
0.190199997,14.66666667
0.168479996,23.33333333
0.185759995,52
1.298428589,226
0.715159973,85
0.310640015,24.33333333
0.165679993,24
0.282279999,27
0.172520004,10
0.337559998,51
1.597666626,276
0.887840027,174.1
0.229199997,59.2
0.265559998,25.83333333
0.464375,73.2
0.86752002,85.46666667
0.116360001,28
0.932159973,110.6
0.106760002,26.46666667
0.106176468,53.73333333
0.683823547,113.7666667
